R,nodes,dimension,beta,epsilon,delta_frac,adv_std_dev,honest_distribution,iteration,f_approx,f_event,f_central,abs_error_approx,abs_error_event,comm_overhead_approx,comm_overhead_event,comm_overhead_central,storage_approx,storage_event,storage_central,power_tx_approx,power_tx_event,power_tx_central,avg_energy_per_node_approx,avg_energy_per_node_event,avg_energy_per_node_central,lifetime_rounds_approx,lifetime_rounds_event,lifetime_rounds_central,threshold,f_approx_exceeds_threshold,f_event_exceeds_threshold,f_central_untrimmed_mean,abs_error_untrimmed
5000,100,20,0.2,0.4,0.1,1.0,correlated_gaussian,1,42.17782913930579,42.11234042733803,47.84544054635059,5.667611407044795,5.733100119012555,334368,0,464064,1920.0,1920.0,1920.0,12448.035930575206,0.0,17276.429999540786,124.48035930575206,0.0,172.76429999540787,0.08033395835111407,inf,0.057882328700233805,50.0,False,False,42.46138613861386,5.384054407736727
5000,100,20,0.2,0.4,0.1,1.0,correlated_gaussian,2,42.31835045210708,42.11234042733803,47.983119009750475,5.6647685576433915,5.870778582412441,334560,0,464352,1920.0,1920.0,1920.0,12455.183812246501,0.0,17287.15182204774,124.55183812246501,0.0,172.8715182204774,0.08028785564904747,inf,0.05784642897186897,50.0,False,False,42.547029702970306,5.436089306780168
5000,100,20,0.2,0.4,0.1,1.0,correlated_gaussian,3,42.43371728227323,42.11234042733803,47.741130833126164,5.307413550852935,5.628790405788131,335136,0,469536,1920.0,1920.0,1920.0,12476.627457260418,0.0,17480.144627172933,124.76627457260417,0.0,174.80144627172933,0.0801498644906704,inf,0.05720776465690663,50.0,False,False,42.57970297029703,5.161427862829136
5000,100,20,0.2,0.4,0.1,1.0,correlated_gaussian,4,42.29997438583899,42.11234042733803,47.67972109909202,5.379746713253027,5.5673806717539875,336192,0,469248,1920.0,1920.0,1920.0,12515.940806452589,0.0,17469.422804665977,125.15940806452589,0.0,174.69422804665976,0.07989810877696468,inf,0.05724287580542765,50.0,False,False,42.53217821782178,5.14754288127024
5000,100,20,0.3,0.1,0.1,1.0,correlated_gaussian,0,47.425852038657986,47.425852038657986,44.99047295184491,2.4353790868130787,2.4353790868130787,394848,192000,460032,1920.0,1920.0,1920.0,14637.686497355247,7117.766349309628,17054.168172945876,146.37686497355247,71.17766349309628,170.54168172945876,0.06831680677002347,0.14049351312255323,0.058636691620431204,50.0,False,False,37.21039603960396,7.7800769122409505
5000,100,20,0.3,0.1,0.1,1.0,correlated_gaussian,1,46.6786163676217,47.425852038657986,44.106586545318905,2.5720298223027953,3.3192654933390813,393024,0,460320,1920.0,1920.0,1920.0,14570.0677170368,0.0,17064.84482246983,145.700677170368,0.0,170.64844822469829,0.06863386083173097,inf,0.05860000547343202,50.0,False,False,37.27920792079208,6.827378624526823
5000,100,20,0.3,0.1,0.1,1.0,correlated_gaussian,2,47.00000415385974,47.425852038657986,44.25131566604128,2.7486884878184625,3.174536372616707,392928,0,461952,1920.0,1920.0,1920.0,14566.508833862157,0.0,17125.345836438966,145.66508833862156,0.0,171.25345836438967,0.06865062942709661,inf,0.0583929813476946,50.0,False,False,37.2,7.051315666041276
5000,100,20,0.3,0.1,0.1,1.0,correlated_gaussian,3,48.11960276564779,47.425852038657986,43.58674805199196,4.53285471365583,3.839103986666025,394272,0,468672,1920.0,1920.0,1920.0,14616.333198307322,0.0,17374.467658664802,146.16333198307322,0.0,173.744676586648,0.06841661218531932,inf,0.05755572024684688,50.0,False,False,37.14108910891089,6.445658943081071
5000,100,20,0.3,0.1,0.1,1.0,correlated_gaussian,4,48.56890012067184,47.425852038657986,43.618579200682866,4.950320919988975,3.8072728379751197,393984,0,466848,1920.0,1920.0,1920.0,14605.656548783361,0.0,17306.848878346365,146.0565654878336,0.0,173.06848878346366,0.06846662432872962,inf,0.057780593511228946,50.0,False,False,37.123267326732666,6.4953118739502
5000,100,20,0.3,0.2,0.1,1.0,correlated_gaussian,0,42.63853045154613,42.63853045154613,44.99047295184491,2.351942500298776,2.351942500298776,366336,192000,460032,1920.0,1920.0,1920.0,13580.698194482773,7117.766349309628,17054.168172945876,135.80698194482773,71.17766349309628,170.54168172945876,0.0736339167308979,0.14049351312255323,0.058636691620431204,50.0,False,False,37.21039603960396,7.7800769122409505
5000,100,20,0.3,0.2,0.1,1.0,correlated_gaussian,1,43.35367332797325,42.63853045154613,44.106586545318905,0.7529132173456574,1.4680560937727734,366528,0,460320,1920.0,1920.0,1920.0,13587.81596083208,0.0,17064.84482246983,135.8781596083208,0.0,170.64844822469829,0.07359534474727775,inf,0.05860000547343202,50.0,False,False,37.27920792079208,6.827378624526823
5000,100,20,0.3,0.2,0.1,1.0,correlated_gaussian,2,43.40509967199479,42.63853045154613,44.25131566604128,0.8462159940464886,1.6127852144951476,365760,0,461952,1920.0,1920.0,1920.0,13559.34489543484,0.0,17125.345836438966,135.59344895434842,0.0,171.25345836438967,0.07374987565488358,inf,0.0583929813476946,50.0,False,False,37.2,7.051315666041276
5000,100,20,0.3,0.2,0.1,1.0,correlated_gaussian,3,43.45899346794894,42.63853045154613,43.58674805199196,0.12775458404301787,0.9482176004458296,367200,0,468672,1920.0,1920.0,1920.0,13612.728143054665,0.0,17374.467658664802,136.12728143054665,0.0,173.744676586648,0.07346066045623698,inf,0.05755572024684688,50.0,False,False,37.14108910891089,6.445658943081071
5000,100,20,0.3,0.2,0.1,1.0,correlated_gaussian,4,43.3447235006598,42.63853045154613,43.618579200682866,0.2738557000230628,0.9800487491367349,364800,0,466848,1920.0,1920.0,1920.0,13523.756063688297,0.0,17306.848878346365,135.23756063688296,0.0,173.06848878346366,0.07394395427502799,inf,0.057780593511228946,50.0,False,False,37.123267326732666,6.4953118739502
5000,100,20,0.3,0.3,0.1,1.0,correlated_gaussian,0,39.75081332313534,39.75081332313534,44.99047295184491,5.239659628709568,5.239659628709568,343008,192000,460032,1920.0,1920.0,1920.0,12715.88958304165,7117.766349309628,17054.168172945876,127.1588958304165,71.17766349309628,170.54168172945876,0.07864176497204212,0.14049351312255323,0.058636691620431204,50.0,False,False,37.21039603960396,7.7800769122409505
5000,100,20,0.3,0.3,0.1,1.0,correlated_gaussian,1,43.019072993480535,39.75081332313534,44.106586545318905,1.08751355183837,4.355773222183565,343488,0,460320,1920.0,1920.0,1920.0,12733.683998914928,0.0,17064.84482246983,127.33683998914928,0.0,170.64844822469829,0.07853186871020301,inf,0.05860000547343202,50.0,False,False,37.27920792079208,6.827378624526823
5000,100,20,0.3,0.3,0.1,1.0,correlated_gaussian,2,41.01115546227858,39.75081332313534,44.25131566604128,3.2401602037626986,4.500502342905939,345600,0,461952,1920.0,1920.0,1920.0,12811.979428757331,0.0,17125.345836438966,128.1197942875733,0.0,171.25345836438967,0.07805195173475178,inf,0.0583929813476946,50.0,False,False,37.2,7.051315666041276
5000,100,20,0.3,0.3,0.1,1.0,correlated_gaussian,3,40.65124833620331,39.75081332313534,43.58674805199196,2.9354997157886515,3.8359347288566212,345600,0,468672,1920.0,1920.0,1920.0,12811.979428757331,0.0,17374.467658664802,128.1197942875733,0.0,173.744676586648,0.07805195173475178,inf,0.05755572024684688,50.0,False,False,37.14108910891089,6.445658943081071
5000,100,20,0.3,0.3,0.1,1.0,correlated_gaussian,4,41.98250274287865,39.75081332313534,43.618579200682866,1.636076457804215,3.8677658775475265,345888,0,466848,1920.0,1920.0,1920.0,12822.6560782813,0.0,17306.848878346365,128.22656078281298,0.0,173.06848878346366,0.07798696259925239,inf,0.057780593511228946,50.0,False,False,37.123267326732666,6.4953118739502
5000,100,20,0.3,0.4,0.1,1.0,correlated_gaussian,0,37.357219939484764,37.357219939484764,44.99047295184491,7.633253012360143,7.633253012360143,339264,192000,460032,1920.0,1920.0,1920.0,12577.09313923012,7117.766349309628,17054.168172945876,125.77093139230121,71.17766349309628,170.54168172945876,0.07950962825271825,0.14049351312255323,0.058636691620431204,50.0,False,False,37.21039603960396,7.7800769122409505
5000,100,20,0.3,0.4,0.1,1.0,correlated_gaussian,1,37.3699157379565,37.357219939484764,44.106586545318905,6.736670807362408,6.74936660583414,340608,0,460320,1920.0,1920.0,1920.0,12626.91750367528,0.0,17064.84482246983,126.2691750367528,0.0,170.64844822469829,0.07919589240279212,inf,0.05860000547343202,50.0,False,False,37.27920792079208,6.827378624526823
5000,100,20,0.3,0.4,0.1,1.0,correlated_gaussian,2,37.34159236469299,37.357219939484764,44.25131566604128,6.909723301348286,6.894095726556515,340992,0,461952,1920.0,1920.0,1920.0,12641.153036373897,0.0,17125.345836438966,126.41153036373896,0.0,171.25345836438967,0.07910670783927548,inf,0.0583929813476946,50.0,False,False,37.2,7.051315666041276
5000,100,20,0.3,0.4,0.1,1.0,correlated_gaussian,3,37.3000713202878,37.357219939484764,43.58674805199196,6.286676731704162,6.229528112507197,343488,0,468672,1920.0,1920.0,1920.0,12733.683998914928,0.0,17374.467658664802,127.33683998914928,0.0,173.744676586648,0.07853186871020301,inf,0.05755572024684688,50.0,False,False,37.14108910891089,6.445658943081071
5000,100,20,0.3,0.4,0.1,1.0,correlated_gaussian,4,37.34338015040287,37.357219939484764,43.618579200682866,6.275199050279994,6.261359261198102,342336,0,466848,1920.0,1920.0,1920.0,12690.97740081907,0.0,17306.848878346365,126.90977400819071,0.0,173.06848878346366,0.07879613747759573,inf,0.057780593511228946,50.0,False,False,37.123267326732666,6.4953118739502
5000,100,20,0.4,0.1,0.1,1.0,correlated_gaussian,0,44.11689358392104,44.11689358392104,37.98811403508772,6.128779548833322,6.128779548833322,360864,192000,418752,1920.0,1920.0,1920.0,14433.215954862908,7679.284892185637,16748.520349856877,144.33215954862908,76.79284892185636,167.48520349856878,0.06928462811942304,0.13022045855045566,0.05970676687320294,50.0,False,False,30.789108910891088,7.199005124196631
5000,100,20,0.4,0.1,0.1,1.0,correlated_gaussian,1,42.533613286098856,44.11689358392104,37.28930451127819,5.2443087748206665,6.827589072642851,361152,0,421824,1920.0,1920.0,1920.0,14444.734882201183,0.0,16871.388908131856,144.44734882201183,0.0,168.71388908131857,0.06922937721980629,inf,0.05927194289961563,50.0,False,False,30.79257425742574,6.496730253852448
